,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Total Educ Pop,Education (H.S. or Less),Education (H.S. or Less) %,Education (Some College or More),Education (Some College or More) %,Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
62,Indiana,IN,Pike County,1297,4398,5977,21.7,73.58,12554,12222,100,125,56,43,43,44,86,3500,544,807,737,356,14,4,6048,4130,68.29,1918,31.71,48076,24367,89500,6164,3867,240
63,Indiana,IN,Porter County,33531,38719,76492,43.84,50.62,167016,153059,5908,2351,15662,39,38,41,662,35238,4262,10810,18661,7724,1760,1394,80511,40162,49.88,40349,50.12,64874,30615,168300,83782,49679,5268
64,Indiana,IN,Posey County,3515,8393,12448,28.24,67.42,25527,24789,344,122,273,43,42,44,87,6265,600,1927,2438,902,200,96,12515,6952,55.55,5563,44.45,59918,30396,136900,12875,7622,590
65,Indiana,IN,Pulaski County,1327,3854,5437,24.41,70.88,12910,12417,45,52,360,42,40,44,133,3584,529,544,650,240,51,12,5743,4246,73.93,1497,26.07,44884,23958,92000,6273,4040,442
66,Indiana,IN,Putnam County,3356,10637,14680,22.86,72.46,37626,35313,1341,336,985,38,37,40,242,8347,1988,2331,2129,971,223,415,16646,10577,63.54,6069,36.46,52465,23040,121700,17037,14225,1101
67,Indiana,IN,Randolph County,2446,7515,10456,23.39,71.87,25403,24524,236,49,819,42,41,43,128,6628,980,1466,1320,825,64,69,11480,7736,67.39,3744,32.61,42418,22817,79000,12140,8097,775
68,Indiana,IN,Ripley County,2471,9806,12790,19.32,76.67,28633,27716,113,285,500,41,40,42,129,7465,934,1633,2300,903,118,69,13551,8528,62.93,5023,37.07,52372,23980,138300,14303,8385,939
69,Indiana,IN,Rush County,1525,5292,7214,21.14,73.36,16873,16367,208,29,241,41,40,42,48,4814,744,627,1050,455,93,30,7861,5606,71.31,2255,28.69,46380,24267,100300,8111,5269,459
70,Indiana,IN,Scott County,2642,6074,9060,29.16,67.04,23734,23127,59,94,439,41,40,41,110,5919,1038,1495,1346,596,106,71,10681,7067,66.16,3614,33.84,46368,23103,98400,11141,7834,750
71,Indiana,IN,Shelby County,4247,12718,17935,23.68,70.91,44404,41852,573,291,1747,42,41,42,168,11038,2106,2467,3210,1470,255,150,20864,13312,63.8,7552,36.2,52651,25478,124800,23163,12066,1785
72,Indiana,IN,Spencer County,2861,6572,9959,28.73,65.99,20777,20061,132,32,575,43,43,43,144,5656,711,1504,1435,619,91,73,10233,6511,63.63,3722,36.37,54870,25914,118300,10575,6064,608
73,Indiana,IN,St. Joseph County,52247,52019,109452,47.74,47.53,267696,211802,34636,5628,21797,36,35,38,1449,44846,8752,13294,29937,13005,2851,3186,117320,55047,46.92,62273,53.08,46174,24748,116800,133922,76359,10098
74,Indiana,IN,Starke County,2489,6367,9226,26.98,69.01,23069,22277,96,70,797,42,42,42,96,5342,1226,1512,1282,430,74,54,10016,6664,66.53,3352,33.47,43401,21343,99100,10516,7842,995
75,Indiana,IN,Steuben County,3741,10127,14530,25.75,69.7,34279,33336,85,163,1151,42,41,43,128,7744,1108,2046,3027,1234,206,179,15672,8980,57.3,6692,42.7,50418,25497,130000,17611,10395,1045
