,State,State Abbr,County,DEM Votes,GOP Votes,Total Votes,DEM %,GOP %,Total Population,Population (White),Population (African-American),Population (Asian),Population (Hispanic),Median Age,Median Age (Male),Median Age (Female),Education (None),Education (High School),Education (GED),Education (Associates),Education (Bachelors),Education (Masters),Education (Professional),Education (Doctorate),Median Income,Income Per Capita,Median Home Value,Pop in Labor Force,Pop Not in Labor Force,Unemployed
49,Indiana,IN,Marshall County,4798,12286,18008,0.266437139,0.682252332,46833.0,43839.0,283.0,192.0,4362.0,39.8,37.9,41.5,200.0,10765.0,1772.0,2708.0,3677.0,1549.0,396.0,103.0,49725.0,23372.0,124600.0,22855.0,13362.0,1749.0
50,Indiana,IN,Martin County,881,3695,4807,0.18327439199999998,0.768670689,10218.0,9944.0,42.0,40.0,22.0,42.7,41.7,43.6,56.0,2602.0,450.0,901.0,459.0,286.0,31.0,35.0,47457.0,23913.0,95400.0,5117.0,3046.0,272.0
51,Indiana,IN,Miami County,2766,9975,13440,0.20580357100000002,0.7421875,36093.0,33011.0,1803.0,157.0,1004.0,39.8,38.3,41.1,302.0,8684.0,1870.0,1931.0,1856.0,900.0,122.0,76.0,45646.0,21940.0,85600.0,16306.0,12861.0,1449.0
52,Indiana,IN,Monroe County,34183,20527,57623,0.593217986,0.35622928299999995,143292.0,124252.0,4430.0,8966.0,4672.0,28.6,27.9,29.5,418.0,15216.0,3064.0,5415.0,18497.0,12266.0,1899.0,3772.0,43389.0,25488.0,161300.0,76130.0,46768.0,5034.0
53,Indiana,IN,Montgomery County,3362,11051,15101,0.222634263,0.7318058409999999,38108.0,36620.0,340.0,240.0,1751.0,40.4,38.1,42.2,219.0,9712.0,1411.0,1918.0,2895.0,989.0,250.0,148.0,50253.0,24095.0,111600.0,19236.0,10984.0,1046.0
54,Indiana,IN,Morgan County,6037,23671,31180,0.19361770399999997,0.759172547,69504.0,67658.0,260.0,469.0,979.0,41.2,40.3,42.1,404.0,16995.0,2958.0,4789.0,4957.0,1941.0,347.0,114.0,57521.0,26556.0,144400.0,35590.0,19586.0,2262.0
55,Indiana,IN,Newton County,1403,4074,5791,0.242272492,0.7035054390000001,14022.0,13548.0,47.0,70.0,828.0,42.9,42.4,43.8,107.0,3855.0,717.0,768.0,717.0,247.0,45.0,28.0,50058.0,24061.0,112500.0,6790.0,4536.0,490.0
56,Indiana,IN,Noble County,3904,12198,16890,0.231142688,0.722202487,47587.0,46028.0,170.0,312.0,4754.0,38.4,37.5,39.6,230.0,10791.0,2095.0,2918.0,3078.0,1068.0,196.0,96.0,49657.0,23792.0,111200.0,23859.0,12962.0,1659.0
57,Indiana,IN,Ohio County,686,2118,2917,0.235173123,0.7260884470000001,6003.0,5811.0,139.0,0.0,37.0,46.2,45.5,47.3,36.0,1713.0,338.0,435.0,382.0,161.0,45.0,19.0,54653.0,25278.0,146400.0,3096.0,1794.0,183.0
58,Indiana,IN,Orange County,2048,5800,8189,0.25009158600000003,0.708267188,19579.0,18917.0,250.0,100.0,261.0,40.9,40.3,42.2,168.0,5038.0,978.0,886.0,946.0,523.0,92.0,29.0,41438.0,21295.0,88400.0,8952.0,6566.0,491.0
59,Indiana,IN,Owen County,1946,6151,8520,0.228403756,0.721948357,21038.0,20518.0,135.0,104.0,246.0,44.3,43.8,45.1,168.0,5118.0,1330.0,1022.0,975.0,660.0,123.0,35.0,45388.0,22675.0,108500.0,10097.0,6978.0,688.0
60,Indiana,IN,Parke County,1441,4863,6576,0.21913017,0.739507299,17033.0,16371.0,325.0,14.0,244.0,41.6,42.1,41.4,174.0,4238.0,854.0,1176.0,981.0,382.0,36.0,18.0,42664.0,22247.0,88300.0,7291.0,6483.0,511.0
61,Indiana,IN,Perry County,3062,4556,8025,0.38155763200000004,0.567725857,19301.0,18287.0,596.0,57.0,237.0,41.1,39.0,43.7,171.0,5390.0,1559.0,1002.0,940.0,739.0,100.0,46.0,47396.0,21634.0,100000.0,8633.0,7016.0,356.0
62,Indiana,IN,Pike County,1297,4398,5977,0.216998494,0.735820646,12554.0,12222.0,100.0,125.0,56.0,43.4,43.4,43.5,86.0,3500.0,544.0,807.0,737.0,356.0,14.0,4.0,48076.0,24367.0,89500.0,6164.0,3867.0,240.0
63,Indiana,IN,Porter County,33531,38719,76492,0.438359567,0.506183653,167016.0,153059.0,5908.0,2351.0,15662.0,39.4,38.3,40.6,662.0,35238.0,4262.0,10810.0,18661.0,7724.0,1760.0,1394.0,64874.0,30615.0,168300.0,83782.0,49679.0,5268.0
64,Indiana,IN,Posey County,3515,8393,12448,0.28237467899999996,0.6742448590000001,25527.0,24789.0,344.0,122.0,273.0,42.7,42.1,43.5,87.0,6265.0,600.0,1927.0,2438.0,902.0,200.0,96.0,59918.0,30396.0,136900.0,12875.0,7622.0,590.0
